"delegator_address","amount_uluna","amount_lunc"
"terra1fulvs5lv70u3ak4d3cjyt2at7wflu3wdm225c0","10498495000000055","10498495000.000055"
"terra1g23690dw97gm9mzw7f3y3l0fa3a7j3k66gud6r","317491430000022","317491430.000022"
"terra17zwwzhuufwsxd6s60h9dwtrva2y03xsvs4wd8m","260018267200000","260018267.2"
"terra16x9dcx9pm9j8ykl0td4hptwule706ysjeskflu","86520094593181","86520094.593181"
"terra1q3nw28zlxxj8vx4s43ds7ps0hddx0yrddh0v6s","60560986239660","60560986.23966"
"terra14yl8zapef9uhrrmeflp4qw9s5qg8xdytntjzjh","44730064973961","44730064.973961"
"terra16605vq9qyrjfz5cvcj8dvm4rg0au6ty4u04wa2","32395087712678","32395087.712678"
"terra1p790t4y0vx49krml2s42m2lc34lgx3ryvrlsng","30000338381366","30000338.381366"
"terra149qev4zxpym4ldrq6zpka76aec2nmv9ks4lccf","26369926832311","26369926.832311"
"terra1x4gncfgr6kau0f4t33hvzhr5ruf236ljfhayse","20000000000000","20000000"
"terra12mxp3zjryvq6r9vrkckg3dujwxaj4n7u3lsdps","13395980291512","13395980.291512"
"terra1a4y5hj0kl4xdwpd2wppzs5ylvhqrftmgtsnjle","12000000000000","12000000"
"terra1c3fps9s0jpu3mdn7aa72cnlysupetqq9xj3536","11323096569549","11323096.569549"
"terra19pkkluzqfff5dt3yv5s7a2fm7ekxr6wj8yas83","10000000999999","10000000.999999"
"terra10kgpmh8nzc8lnunakgrj63haut4ftgltaewsw2","9482741631000","9482741.631"
"terra1pc2g4wmkd6k63fdgw7ep4hl4alxdz4903u098a","8596000000000","8596000"
"terra1ep7uhh6krmg83paxhgzcg0snxjee09gfw4ca6z","7810679101678","7810679.101678"
"terra1h338ugr36tyfv9x077v326mykg4e67sdc8s2na","7393448656884","7393448.656884"
"terra1x6hzup4hr64udqcgx9dwsz3f8u23st64zw0m74","7041903141605","7041903.141605"
"terra1d5q8xgju4rvcrt53hajjhk0en584ltyrpv8vfq","6999300000000","6999300"
"terra1g86a2pvh5wsmq5rxnt88ak6l29dmkvxpyhv8r8","6570000000000","6570000"
"terra17gn9s0kc4lnwlupdaavqqd75ucgwvj9fmnrvev","6531095151899","6531095.151899"
"terra18st60mxhd8jmqecpw2xdcmsu383wz2hdv932q5","6250063535532","6250063.535532"
"terra14nfgm8zl5lv4054ux3quu8np0feaqkutdz2fpg","5502604985099","5502604.985099"
"terra1dadqr83s9kfpw4zz7p2qla77074y06l087zhll","5000000000000","5000000"
"terra1tjjw6h6ydqfnsxdv033c9vrghskdu5euynacdz","5000000000000","5000000"
"terra19n0wddvl0kse8kcwvwn7v99zxekc5pmt4agp29","5000000000000","5000000"
"terra1x5h2fcy0u8t7xk9jp2zz7px8e2s93ynxqs35hv","4205495007722","4205495.007722"
"terra1qnfulj2mlk02885ue2vyg20gfmqpjp3nmqumae","4023500000000","4023500"
"terra1mcm3zrtru8lm3c633sjqamwyz2jyquklqu29jq","4021597800001","4021597.800001"
"terra18499aw5lfraqf2779ljdk64u7gwawf423us9qh","3036047889562","3036047.889562"
"terra1mp5kps6juwqw2ajhwzha0jr7pt228u0443duhx","2367000000000","2367000"
"terra1x2evatzug40vn6lgj7lse99ea56g6h354vsnxr","2350111000000","2350111"
"terra1xu6m9xkls962j449zjysntvmq46g723k57jjkn","2260134503048","2260134.503048"
"terra15s8uxqf3y5qc947t490wlvy9e5jejgcw5xfgqk","2008435409627","2008435.409627"
"terra10v9n5ygz9vz9rjq206wyaa0u7xvwgvw77kry6j","2005733228804","2005733.228804"
"terra1d2ugu8shedttvv630qu3ene6yzgth4lesm9602","2000000000000","2000000"
